model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
model_ResBaGAN_discriminator,112,27,96,48,941371.0,44563200.0,22359424.0,0.0,44563200.0,22359424.0,,22605.26,256,512,64,128.0,56.0,post_placement,40,123,110.38 Megabytes/sec,110.38 Megabytes/sec,3.00 Megabytes/sec,3.00 Megabytes/sec,0.18,49,128,48,80,0,28,648416,67584,256,1,1,64,False,False,False,False,False,0,0,N/A,hailo8l,,,,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.025396160308659793,0.07531627496512677,,,,0.4375,0.7312988900386039,0.6014408802359262,0.989366253421587,0.6105840899379192,0.9196428571428571,0.2602835517059268,0.1047234602566815,,no runtime data,no runtime data,N/A,0.2425068866747982,0.7191920013006015,,no runtime data,no runtime data,no runtime data,no runtime data,no runtime data,5120.0,139.0,0.0,0.0,0.0,0.0
model_ResBaGAN_discriminator_context_0,0.025396160308659793,0.07531627496512677,,0.75,0.240234375,0.4375,0.7312988900386039,0.6014408802359262,0.989366253421587,0.6105840899379192,0.9196428571428571,0.2602835517059268,0.1047234602566815,,22605.255721955356,4.42375e-05,0.00013818,0.2425068866747982,0.7191920013006015,,single context,,,,,5120.0,139.0,0.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,is_4bit_enhanced,is_smuffer_in,is_smuffer_out
conv1,conv,32,32,16,5,3,3,1,1,input_layer1,external_pad1,736.0,753664.0,,24705.08,16191,5760.0,2,1,2,8,2,2,1,1,1,1,True,,False,,115.7389144897461,370.364501953125,model_ResBaGAN_discriminator/conv1,0,0,1,0.040497500000000006,0,8,0.37156444787979126,0.1264900267124176,0.3399830446805143,2,512,model_ResBaGAN_discriminator_context_0,False,4.064e-05,736.0,1474560.0,0,8,-1.0074126720428467,0.999542236328125,-0.4934116303920746,0.4653424620628357,-0.8586248159408569,2.5624585151672363,8,8,16,0.37156444787979126,1.0,1.0,0.915004238485448,1.0,0.3399830446805143,False,False,False
external_pad1,external_pad,32,32,16,16,,,,,conv1,conv2 conv3,0,0,,28508.30,14031,,1,1,1,16,0,2,1,,,,False,,False,,370.364501953125,0.0,model_ResBaGAN_discriminator/external_pad1,0,0,1,0.040595,0,16,0.18259568512439728,0.19385646283626556,0.1447866661757795,102,640,model_ResBaGAN_discriminator_context_0,False,4.195e-05,0,0,0,8,-0.8586248159408569,2.5624585151672363,N/A,N/A,-0.8586248159408569,2.5624585151672363,8,8,8,0.18259568512439728,1.0,1.0,0.792935857586889,0.0,0.1447866661757795,False,False,False
conv2,conv,34,34,16,16,3,3,2,2,external_pad1,conv4,2320.0,593920.0,,31984.65,12506,10404.0,1,1,1,16,2,1,1,1,1,1,False,,False,,418.1068115234375,104.52670288085938,model_ResBaGAN_discriminator/conv2,0,0,1,0.041345,0,16,0.7837837934494019,0.04094034805893898,0.5539417982977236,128,256,model_ResBaGAN_discriminator_context_0,False,4.2935e-05,2320.0,1179648.0,512,8,-0.8586248159408569,2.5624585151672363,-0.6135087609291077,0.5972585082054138,-1.092231273651123,4.162843704223633,8,8,16,0.7837837934494019,0.85,1.0,0.7067533201469341,1.0,0.4708505285530651,False,False,False
conv3,conv,34,34,16,16,3,3,2,2,external_pad1,ew_add1,2320.0,593920.0,,31984.65,12506,10404.0,1,1,1,16,2,1,1,1,1,1,False,,False,,418.1068115234375,104.52670288085938,model_ResBaGAN_discriminator/conv3,0,0,1,0.041345,0,16,0.7837837934494019,0.04094034805893898,0.5539417982977236,128,256,model_ResBaGAN_discriminator_context_0,False,4.2935e-05,2320.0,1179648.0,512,8,-0.8586248159408569,2.5624585151672363,-0.9541118144989014,0.8681227564811707,-6.594841480255127,7.077391147613525,8,8,16,0.7837837934494019,0.85,1.0,0.7067533201469341,1.0,0.4708505285530651,False,False,False
conv4,conv,16,16,16,16,3,3,1,1,conv2,ew_add1,2320.0,593920.0,,31429.24,12727,9216.0,1,1,1,16,2,1,1,1,1,1,False,,False,,92.59112548828125,92.59112548828125,model_ResBaGAN_discriminator/conv4,0,0,1,0.041437499999999995,0,16,0.8281605839729309,0.040229432284832,0.5956484742708953,128,256,model_ResBaGAN_discriminator_context_0,False,4.6405e-05,2320.0,1179648.0,1024,8,-1.092231273651123,4.162843704223633,-0.5964304804801941,1.0838555097579956,-1.8808822631835938,8.323904037475586,8,8,16,0.8281605839729309,1.0,1.0,0.7192427239333146,1.0,0.5956484742708953,False,False,False
ew_add1,ew_add,16,16,16,16,,,,,conv4 conv3,conv5 ew_add2,0,2048.0,,211528.29,1891,,1,1,1,16,0,2,0.0,,,,False,,False,,92.59112548828125,0.0,model_ResBaGAN_discriminator/ew_add1,1,0,1,0.0374275,0,16,0.5415124297142029,0.27075621485710144,0.05786945490757602,256,256,model_ResBaGAN_discriminator_context_0,False,4.6695e-05,0,4096.0,0,8,N/A,N/A,N/A,N/A,-7.560554027557373,8.640632629394531,8,8,16,0.5415124297142029,1.0,1.0,0.10686634642554395,1.0,0.05786945490757602,False,False,False
conv5,conv,16,16,16,16,3,3,1,1,ew_add1,conv6,2320.0,593920.0,,31748.55,12599,9216.0,1,1,1,16,2,1,1,1,1,1,False,,False,,92.59112548828125,92.59112548828125,model_ResBaGAN_discriminator/conv5,0,0,1,0.0406575,0,16,0.8365743160247803,0.04063814505934715,0.5956484774001813,255,128,model_ResBaGAN_discriminator_context_0,False,5.0215e-05,2320.0,1179648.0,1024,8,-7.560554027557373,8.640632629394531,-0.36947116255760193,0.2444433718919754,-1.7527762651443481,13.145822525024414,8,8,16,0.8365743160247803,1.0,1.0,0.7120090421022889,1.0,0.5956484774001813,False,False,True
conv6,conv,16,16,16,16,3,3,1,1,conv5,ew_add2,2320.0,593920.0,,31184.22,12827,9216.0,1,1,1,16,2,1,1,1,1,1,False,,False,,92.59112548828125,92.59112548828125,model_ResBaGAN_discriminator/conv6,0,0,1,0.04085,0,16,0.8217042088508606,0.03991580381989479,0.5956484818835823,128,256,model_ResBaGAN_discriminator_context_0,False,5.38525e-05,2320.0,1179648.0,1024,8,-1.7527762651443481,13.145822525024414,-0.3244260549545288,0.35886871814727783,-1.5101768970489502,7.047492027282715,8,8,16,0.8217042088508606,1.0,1.0,0.7248940378638034,1.0,0.5956484818835823,False,True,False
ew_add2,ew_add,16,16,16,16,,,,,conv6 ew_add1,conv7 ew_add3,0,2048.0,,211528.29,1891,,1,1,1,16,0,2,0.0,,,,False,,False,,92.59112548828125,0.0,model_ResBaGAN_discriminator/ew_add2,1,0,1,0.0359325,0,16,0.5415124297142029,0.27075621485710144,0.05786945490757602,256,256,model_ResBaGAN_discriminator_context_0,False,5.41425e-05,0,4096.0,0,8,-1.5101768970489502,7.047492027282715,N/A,N/A,-7.49996280670166,19.821331024169922,8,8,16,0.5415124297142029,1.0,1.0,0.10686634642554395,1.0,0.05786945490757602,False,False,False
conv7,conv,16,16,16,16,3,3,1,1,ew_add2,conv8,2320.0,593920.0,,31748.55,12599,9216.0,1,1,1,16,2,1,1,1,1,1,False,,False,,92.59112548828125,92.59112548828125,model_ResBaGAN_discriminator/conv7,0,0,1,0.0391625,0,16,0.8365743160247803,0.04063814505934715,0.5956484774001813,255,128,model_ResBaGAN_discriminator_context_0,False,5.76625e-05,2320.0,1179648.0,1024,8,-7.49996280670166,19.821331024169922,-0.8951700925827026,0.6375830769538879,-3.474419593811035,11.049793243408203,8,8,16,0.8365743160247803,1.0,1.0,0.7120090421022889,1.0,0.5956484774001813,False,False,True
